sample_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
59114_4,0.032407407407407406,0.0013227513227513227,0.004629629629629629,0.09887566137566138,0.0,0.0,0.0,0.0,0.0,0.0,0.034722222222222224,0.0,0.0,0.12863756613756613,0.17427248677248677,0.000992063492063492,0.0,0.013558201058201057,0.17063492063492064,0.041666666666666664,0.0013227513227513227,0.0033068783068783067,0.011574074074074073,0.1087962962962963,0.003968253968253968,0.16170634920634921,0.007605820105820105,0.0,0.0,0.0
60359_1,0.007526020816653323,0.0012810248198558848,0.0012810248198558848,0.06020816653322658,0.0,0.0,0.0,0.0,0.0024019215372297837,0.0,0.011849479583666934,0.0,0.0,0.12489991993594876,0.3697357886309047,0.0006405124099279424,0.0,0.01200960768614892,0.22385908726981585,0.02658126501200961,0.0,0.00048038430744595676,0.009927942353883107,0.02033626901521217,0.016653322658126503,0.10632506004803843,0.0040032025620496394,0.0,0.0,0.0
60359_2,0.01178524661719773,0.00960279353993889,0.00043649061545176777,0.33784373635966825,0.0,0.0,0.0,0.0,0.0,0.0,0.12701876909646442,0.0,0.0,0.14797031863814927,0.03753819292885203,0.0,0.00043649061545176777,0.044085552160628545,0.18594500218245308,0.04364906154517678,0.001745962461807071,0.004364906154517678,0.00785683107813182,0.028371890004364905,0.001745962461807071,0.00960279353993889,0.0,0.0,0.0,0.0
77570,0.1902654867256637,0.0022123893805309734,0.000829646017699115,0.0849004424778761,0.0005530973451327434,0.0,0.0,0.0,0.0002765486725663717,0.0,0.07798672566371681,0.0,0.000829646017699115,0.027101769911504425,0.1590154867256637,0.0,0.0,0.008296460176991151,0.14214601769911506,0.00995575221238938,0.0,0.00497787610619469,0.008849557522123894,0.19911504424778761,0.007190265486725664,0.07466814159292036,0.000829646017699115,0.0,0.0,0.0
81012_1,0.06820083682008368,0.008368200836820083,0.002510460251046025,0.048535564853556486,0.0,0.0,0.0,0.0,0.0020920502092050207,0.0,0.018410041841004185,0.0,0.0,0.04184100418410042,0.16652719665271967,0.0,0.0,0.023430962343096235,0.4087866108786611,0.05690376569037657,0.0,0.0,0.0012552301255230125,0.12677824267782425,0.025523012552301255,0.0008368200836820083,0.0,0.0,0.0,0.0
81012_2,0.15300546448087432,0.01249024199843872,0.00702576112412178,0.19437939110070257,0.00078064012490242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768930523028885,0.04137392661982826,0.0,0.0,0.00234192037470726,0.19437939110070257,0.08274785323965651,0.0,0.0,0.0039032006245121,0.10694769711163153,0.00234192037470726,0.03747072599531616,0.00156128024980484,0.00156128024980484,0.0,0.0
83942,0.695583596214511,0.019803715387311602,0.06975113915177007,0.13564668769716087,0.0008762705923589204,0.0001752541184717841,0.0,0.0,0.0,0.0,0.005257623554153523,0.0,0.0008762705923589204,0.005608131791097091,0.00473186119873817,0.0001752541184717841,0.0,0.006309148264984227,0.033123028391167195,0.0033298282509638976,0.0007010164738871364,0.0007010164738871364,0.0,0.013845075359270943,0.0026288117770767614,0.0007010164738871364,0.0,0.0001752541184717841,0.0,0.0
BM2,0.0,0.00029394473838918284,0.016901822457378014,0.007348618459729571,0.0004409171075837742,0.03453850676072898,0.0,0.004556143445032334,0.015285126396237508,0.06466784244562022,0.14638447971781304,0.0,0.06452087007642564,0.009700176366843033,0.013374485596707819,0.178424456202234,0.0,0.059082892416225746,0.004556143445032334,0.041005291005291,0.14638447971781304,0.05173427395649618,0.015726043503821282,0.08186360964138742,0.011169900058788948,0.015726043503821282,0.016019988242210466,0.00029394473838918284,0.0,0.0
BM4,0.0,0.0,0.006609142647328804,0.011933174224343675,0.0007343491830365339,0.016706443914081145,0.0,0.009179364787956673,0.008077841013401872,0.0405727923627685,0.16265834404259225,0.0,0.0482834587846521,0.030475491096016157,0.0005507618872774004,0.004038920506700936,0.006609142647328804,0.00018358729575913347,0.010464475858270608,0.02955755461722049,0.5037635395630622,0.02533504681476042,0.007343491830365339,0.06150174407930971,0.005507618872774004,0.0036717459151826694,0.005691206168533138,0.0005507618872774004,0.0,0.0
BM5,0.0,0.0,0.0021969974368363236,0.021237641889417794,0.0009154155986818016,0.03441962651043574,0.0,0.014829732698645185,0.007323324789454412,0.12120102526547052,0.13072134749176126,0.0,0.2085316733797144,0.015195898938117906,0.008055657268399853,0.05693885023800806,0.0029293299157817647,0.0038447455144635665,0.005675576711827169,0.046869278652508235,0.18985719516660565,0.009703405346027096,0.008238740388136214,0.08421823507872574,0.002563163676309044,0.010801904064445257,0.013181984621017943,0.0005492493592090809,0.0,0.0
